   5.9734402445508188E-003   7.1479414382551653E-003   8.3844700706942245E-003   9.6406967602556144E-003   1.0866242615788944E-002   1.2005729198147049E-002   1.3002769374379599E-002   1.3804521169398017E-002   1.4366302451956364E-002   1.4655709043939757E-002   1.4655709043939757E-002   1.4366302451956364E-002   1.3804521169398018E-002   1.3002769374379601E-002   1.2005729198147052E-002   1.0866242615788944E-002   9.6406967602556161E-003   8.3844700706942245E-003   7.1479414382551653E-003   5.9734402445508188E-003
   5.9733189379006166E-003   7.1473398057191675E-003   8.3838091201269057E-003   9.6399812411528864E-003   1.0865478399135636E-002   1.2004922901054765E-002   1.3001928022855939E-002   1.3803651956586073E-002   1.4365412625397846E-002   1.4654805922988675E-002   1.4654800134856981E-002   1.4365395601640785E-002   1.3803624685925213E-002   1.3001892047017424E-002   1.2004880170520676E-002   1.0865431098488072E-002   9.6399316057032402E-003   8.3837592650217244E-003   7.1472915851238626E-003   5.9733189379006166E-003
   5.9731975413733727E-003   7.1467382910274319E-003   8.3831482159768753E-003   9.6392657712881403E-003   1.0864714233136400E-002   1.2004116655810483E-002   1.3001086724516117E-002   1.3802782797820597E-002   1.4364522853593806E-002   1.4653902857353705E-002   1.4653891281509892E-002   1.4364488807336947E-002   1.3802728258235260E-002   1.3001014775415490E-002   1.2004031198433964E-002   1.0864619634722589E-002   9.6391665041014301E-003   8.3830485113288323E-003   7.1466418729331290E-003   5.9731975328323568E-003
   5.9730760550160576E-003   7.1461368941346508E-003   8.3824873582532961E-003   9.6385503506577971E-003   1.0863950117787976E-002   1.2003310462410946E-002   1.3000245479356666E-002   1.3801913693098163E-002   1.4363633136540788E-002   1.4652999847031369E-002   1.4652982483894992E-002   1.4363582069041245E-002   1.3801831886324745E-002   1.3000137559570326E-002   1.2003182281882954E-002   1.0863808224489306E-002   9.6384014554468638E-003   8.3823378096289525E-003   7.1459923016275097E-003   5.9730760293996389E-003
   5.9729544788756197E-003   7.1455356149955386E-003   8.3818265469653222E-003   9.6378349792582800E-003   1.0863186053087105E-002   1.2002504320852899E-002   1.2999404287374113E-002   1.3801044642415342E-002   1.4362743474235334E-002   1.4652096892018183E-002   1.4652073742008775E-002   1.4362675386750070E-002   1.3800935570190253E-002   1.2999260399478458E-002   1.2002333420863683E-002   1.0862996867785033E-002   9.6376364597362246E-003   8.3816271599354720E-003   7.1453428711515769E-003   5.9729544276560373E-003
   5.9728328129989884E-003   7.1449344535648293E-003   8.3811657821220957E-003   9.6371196570860119E-003   1.0862422039030522E-002   1.2001698231133085E-002   1.2998563148564990E-002   1.3800175645768707E-002   1.4361853866673987E-002   1.4651193992310668E-002   1.4651165055847742E-002   1.4361768760459817E-002   1.3800039309828368E-002   1.2998383295136411E-002   1.2001484615372190E-002   1.0862185564606582E-002   9.6368715169661990E-003   8.3809165622617653E-003   7.1446935814499261E-003   5.9728327276551011E-003
   5.9727110574330699E-003   7.1443334097972769E-003   8.3805050637327516E-003   9.6364043841374210E-003   1.0861658075614969E-002   1.2000892193248248E-002   1.2997722062925824E-002   1.3799306703154832E-002   1.4360964313853291E-002   1.4650291147905340E-002   1.4650256425408391E-002   1.4360862190166881E-002   1.3799143105235674E-002   1.2997506246540714E-002   1.2000635865404514E-002   1.0861374314950763E-002   9.6361066271334738E-003   8.3802060166211934E-003   7.1440444324671780E-003   5.9727109294503552E-003
   5.9725892122247494E-003   7.1437324836476556E-003   8.3798443918064111E-003   9.6356891604089372E-003   1.0860894162837184E-002   1.2000086207195134E-002   1.2996881030453147E-002   1.3798437814570288E-002   1.4360074815769789E-002   1.4649388358798719E-002   1.4649347850687220E-002   1.4359955675867656E-002   1.3798246956408758E-002   1.2996629253687893E-002   1.1999787170956695E-002   1.0860563118814389E-002   9.6353417902347426E-003   8.3794955230271032E-003   7.1433954241479792E-003   5.9725890330952994E-003
   5.9724672774208922E-003   7.1431316750707602E-003   8.3791837663521884E-003   9.6349739858969923E-003   1.0860130300693906E-002   1.1999280272970489E-002   1.2996040051143491E-002   1.3797568980011648E-002   1.4359185372420025E-002   1.4648485624987327E-002   1.4648439331680729E-002   1.4359049217558536E-002   1.3797350863344203E-002   1.2995752316574476E-002   1.1998938532024769E-002   1.0859751976194270E-002   9.6345770062667008E-003   8.3787850814928278E-003   7.1427465564369999E-003   5.9724670386434075E-003
   5.9723452530683410E-003   7.1425309840214063E-003   8.3785231873791874E-003   9.6342588605980196E-003   1.0859366489181876E-002   1.1998474390571057E-002   1.2995199124993386E-002   1.3796700199475487E-002   1.4358295983800545E-002   1.4647582946467681E-002   1.4647530868385418E-002   1.4358142815235916E-002   1.3796454826038597E-002   1.2994875435196989E-002   1.1998089948604778E-002   1.0858940887087219E-002   9.6338122752260454E-003   8.3780746920316881E-003   7.1420978292789355E-003   5.9723449461481296E-003
